"region","sector","Year","co2.emiss","scenario"
"AL","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AR","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AZ","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"CA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"CO","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"CT","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"DE","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"FL","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"GA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"IA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"ID","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"IL","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"IN","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"KS","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"KY","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"LA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MD","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MI","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MN","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MO","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MS","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MT","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NC","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"ND","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NE","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NH","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NJ","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NM","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NV","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NY","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"OH","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"OK","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"OR","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"PA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"RI","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"SC","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"SD","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"TN","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"TX","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"UT","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"VA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"VT","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"WA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"WI","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"WV","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"WY","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"USA","backup_electricity","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
