CO2 sequestration by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,technology,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,biomass (IGCC CCS) (dry cooling),biomass_base_IGCC_CCS,0,0,0,0,0,2.54E-06,9.15E-05,3.21E-04,6.74E-04,0.001184042,0.001146386,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,biomass (IGCC CCS) (recirculating),biomass_base_IGCC_CCS,0,0,0,0,0,2.67E-06,9.58E-05,3.34E-04,7.00E-04,0.001233815,0.00125334,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,biomass (IGCC CCS) (seawater),biomass_base_IGCC_CCS,0,0,0,0,0,2.68E-06,9.62E-05,3.36E-04,7.03E-04,0.001239703,0.001259203,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,biomass (conv CCS) (dry cooling),biomass_base_conv_CCS,0,0,0,0,0,3.21E-06,1.30E-04,5.21E-04,0.001138716,0.001906358,0.001140934,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,biomass (conv CCS) (recirculating),biomass_base_conv_CCS,0,0,0,0,0,3.43E-06,1.38E-04,5.50E-04,0.001199057,0.002020448,0.001354252,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,biomass (conv CCS) (seawater),biomass_base_conv_CCS,0,0,0,0,0,3.44E-06,1.39E-04,5.52E-04,0.001205032,0.002030454,0.001360847,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,coal (IGCC CCS) (dry cooling),coal_base_IGCC_CCS,0,0,0,0,0,4.61E-05,6.52E-04,8.57E-04,0.001028737,0.001561687,0.001527233,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,coal (IGCC CCS) (recirculating),coal_base_IGCC_CCS,0,0,0,0,0,4.94E-05,7.01E-04,9.45E-04,0.001171441,0.001794523,0.00182993,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,coal (IGCC CCS) (seawater),coal_base_IGCC_CCS,0,0,0,0,0,4.96E-05,7.04E-04,9.48E-04,0.001175706,0.001801151,0.001836811,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,base load generation,coal (conv pul CCS) (dry cooling),coal_base_conv pul_CCS,0,0,0,0,0,4.88E-05,6.70E-04,8.32E-04,9.29E-04,0.001365693,0.001221762,0,0,0,MTC
