final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm cooking,electricity,6.56E-05,9.75E-05,1.80E-04,5.22E-05,5.74E-05,6.44E-05,8.94E-05,1.13E-04,1.33E-04,1.55E-04,1.66E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm cooking,gas,7.75E-04,0.00102418,0.001465283,7.56E-04,7.26E-04,6.94E-04,6.78E-04,6.59E-04,6.57E-04,6.59E-04,7.00E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm cooling,electricity,6.18E-05,1.54E-04,1.50E-04,1.22E-04,1.19E-04,1.14E-04,1.13E-04,1.11E-04,1.09E-04,1.08E-04,1.11E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm cooling,gas,1.30E-06,1.25E-05,7.10E-06,7.60E-06,7.16E-06,6.75E-06,6.39E-06,6.12E-06,6.02E-06,5.91E-06,6.24E-06,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm heating,biomass,1.39E-04,1.73E-04,2.83E-04,0.0011712,0.001179233,0.00125196,0.001487086,0.00172319,0.001734669,0.001515068,0.001268736,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm heating,coal,0.0162671,0.00613441,0.00774521,0.0076825,0.00593003,0.00497693,0.00384125,0.00270557,0.00175247,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm heating,electricity,8.84E-04,0.0011952,6.97E-04,9.23E-04,0.001107182,0.001238052,0.00165329,0.002140891,0.002675117,0.003660011,0.003994418,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm heating,gas,0.0160584,0.012503,0.0112962,0.0110744,0.01058118,0.010229311,0.010264785,0.010209877,0.010172386,0.010061716,0.010675366,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm heating,refined liquids,0.00524869,0.00512821,0.00816801,0.0023954,0.002263694,0.002178592,0.002097303,0.001915726,0.001598351,9.85E-04,7.92E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,comm hot water,electricity,5.13E-04,1.77E-04,8.62E-05,2.09E-04,2.38E-04,2.60E-04,3.24E-04,3.68E-04,4.03E-04,4.43E-04,4.46E-04,0,0,0,EJ
