water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,industry,industry,industry,0.154012,0.0112732,0.0107483,0.0115357,0.0112184,0.0109464,0.0111376,0.0113538,0.0116293,0.0118706,0.0123845,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,municipal water,municipal water,municipal water,0.13673,0.12413,0.129656,0.152797,0.147049,0.144806,0.147146,0.150357,0.153804,0.156969,0.160028,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,5.72E-07,1.94E-05,5.96E-04,0.011003324,0.097905104,0.184911244,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.62E-09,6.54E-08,2.19E-06,5.06E-05,6.14E-04,0.00108389,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,industry,industry,industry,1.08306,0.760419,0.793589,0.682211,0.689637,0.696559,0.722045,0.737607,0.74938,0.759235,0.785907,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,municipal water,municipal water,municipal water,1.01488,1.16156,1.2006,1.10275,1.11818,1.14927,1.19109,1.22036,1.25307,1.28118,1.30936,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AR,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.95E-07,6.62E-06,2.03E-04,0.003743165,0.033261704,0.062763418,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AR,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,5.49E-10,2.22E-08,7.44E-07,1.72E-05,2.08E-04,3.69E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AR,industry,industry,industry,0.245013,0.246354,0.37373,0.216803,0.219443,0.220934,0.228242,0.233203,0.236577,0.239186,0.246807,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AR,municipal water,municipal water,municipal water,0.496147,0.582907,0.609957,0.519329,0.521165,0.528666,0.542498,0.554106,0.565851,0.575991,0.58563,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AZ,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.92E-07,1.28E-05,3.88E-04,0.007262854,0.063583466,0.113266485,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AZ,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.50E-09,9.25E-08,3.03E-06,8.03E-05,0.001062141,0.002433052,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AZ,industry,industry,industry,0.225202,0.0310152,0.0178493,0.00845493,0.00948403,0.0101418,0.0108109,0.0114106,0.0120285,0.0124927,0.0130079,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AZ,municipal water,municipal water,municipal water,1.02019,1.6525,1.71392,1.68429,1.84183,1.99025,2.09992,2.17346,2.24389,2.30452,2.36278,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,2.84E-07,9.48E-06,3.04E-04,0.005925366,0.054695912,0.100921877,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.81E-09,6.34E-08,2.36E-06,6.47E-05,9.11E-04,0.00224619,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CA,industry,industry,industry,0.17801,0.0998014,0.553163,0.550607,0.574814,0.587692,0.611843,0.633795,0.659246,0.682272,0.716022,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CA,municipal water,municipal water,municipal water,8.49041,10.3239,8.8229,7.21493,7.54042,7.82741,8.06016,8.20673,8.30942,8.29694,8.05275,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CO,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,4.56E-07,1.50E-05,4.53E-04,0.008485869,0.074348965,0.132497255,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CO,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.91E-09,1.08E-07,3.54E-06,9.38E-05,0.001242022,0.002846451,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CO,industry,industry,industry,0.162564,0.196784,0.179916,0.116159,0.124933,0.130501,0.137121,0.14209,0.148065,0.153474,0.160752,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CO,municipal water,municipal water,municipal water,0.924392,1.24144,1.22329,1.2148,1.30861,1.39692,1.475,1.52851,1.58084,1.62838,1.67558,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CT,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.43E-08,4.92E-07,1.48E-05,2.91E-04,0.002852742,0.00563594,0,0,0,km^3
