"region","sector","Year","co2.emiss","scenario"
"AL","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AR","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AZ","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CO","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CT","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"DE","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"FL","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"GA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ID","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IL","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IN","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KS","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KY","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"LA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MD","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MI","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MN","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MO","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MS","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MT","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NC","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ND","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NE","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NH","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NJ","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NM","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NV","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NY","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OH","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OK","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OR","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"PA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"RI","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"SC","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"SD","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TN","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TX","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"UT","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
