final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm cooking,electricity,6.56E-05,9.75E-05,1.80E-04,5.22E-05,5.74E-05,6.54E-05,9.16E-05,1.16E-04,1.38E-04,1.62E-04,1.76E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm cooking,gas,7.75E-04,0.00102418,0.001465283,7.56E-04,7.26E-04,6.93E-04,6.75E-04,6.48E-04,6.41E-04,6.35E-04,6.70E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm cooling,electricity,6.18E-05,1.54E-04,1.50E-04,1.22E-04,1.19E-04,1.15E-04,1.14E-04,1.11E-04,1.10E-04,1.08E-04,1.11E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm cooling,gas,1.30E-06,1.25E-05,7.10E-06,7.60E-06,7.16E-06,6.73E-06,6.34E-06,6.03E-06,5.88E-06,5.70E-06,5.99E-06,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm heating,biomass,1.39E-04,1.73E-04,2.83E-04,0.0011712,0.001179233,0.001249756,0.001484565,0.001748732,0.001777182,0.001568522,0.001322429,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm heating,coal,0.0162671,0.00613441,0.00774521,0.0076825,0.00593003,0.00497693,0.00384125,0.00270557,0.00175247,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm heating,electricity,8.84E-04,0.0011952,6.97E-04,9.23E-04,0.001107182,0.001252475,0.00168129,0.002189644,0.00275702,0.003815605,0.004199998,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm heating,gas,0.0160584,0.012503,0.0112962,0.0110744,0.01058118,0.010213014,0.010227811,0.010049331,0.009850671,0.009433594,0.009856381,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm heating,refined liquids,0.00524869,0.00512821,0.00816801,0.0023954,0.002263694,0.002175028,0.002080471,0.001870601,0.00154481,9.38E-04,7.47E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,comm hot water,electricity,5.13E-04,1.77E-04,8.62E-05,2.09E-04,2.38E-04,2.64E-04,3.33E-04,3.82E-04,4.23E-04,4.73E-04,4.83E-04,0,0,0,EJ
