water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,industry,industry,industry,0.154012,0.0112732,0.0107483,0.0115357,0.0112184,0.0109388,0.0111216,0.0112711,0.0115101,0.0117281,0.0121856,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,municipal water,municipal water,municipal water,0.13673,0.12413,0.129656,0.152797,0.147049,0.144806,0.147146,0.150358,0.153804,0.15697,0.160029,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,4.42E-08,1.61E-06,8.29E-05,0.001918476,0.028379387,0.064108851,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.53E-10,9.92E-09,4.82E-07,1.25E-05,2.28E-04,5.09E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,industry,industry,industry,1.08306,0.760419,0.793589,0.682211,0.689637,0.696384,0.72148,0.735825,0.744303,0.751733,0.775342,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,municipal water,municipal water,municipal water,1.01488,1.16156,1.2006,1.10275,1.11818,1.14927,1.19109,1.22037,1.25308,1.28119,1.30937,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AR,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.73E-08,6.30E-07,3.23E-05,7.46E-04,0.010970645,0.024657632,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AR,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,3.73E-09,1.81E-07,4.69E-06,8.54E-05,1.89E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AR,industry,industry,industry,0.245013,0.246354,0.37373,0.216803,0.219443,0.220883,0.228038,0.232588,0.234951,0.236917,0.24357,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AR,municipal water,municipal water,municipal water,0.496147,0.582907,0.609957,0.519329,0.521165,0.528674,0.542525,0.554338,0.566086,0.57635,0.586182,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AZ,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.31E-07,4.49E-06,2.29E-04,0.005293551,0.066244604,0.12167648,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AZ,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.14E-09,4.16E-08,2.08E-06,6.92E-05,0.001310969,0.003032088,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AZ,industry,industry,industry,0.225202,0.0310152,0.0178493,0.00845493,0.00948403,0.0101418,0.0107881,0.0113546,0.0119878,0.0125019,0.0129576,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AZ,municipal water,municipal water,municipal water,1.02019,1.6525,1.71392,1.68429,1.84183,1.99025,2.09995,2.17368,2.24434,2.30532,2.36414,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,2.50E-07,7.94E-06,3.59E-04,0.006187846,0.052611218,0.081733984,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.67E-09,5.49E-08,2.89E-06,7.97E-05,0.001079341,0.002206225,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CA,industry,industry,industry,0.17801,0.0998014,0.553163,0.550607,0.574814,0.587495,0.610975,0.630049,0.654724,0.677316,0.707778,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CA,municipal water,municipal water,municipal water,8.49041,10.3239,8.8229,7.21493,7.54042,7.82752,8.06076,8.20936,8.3126,8.30251,8.05877,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CO,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.52E-07,5.24E-06,2.67E-04,0.006185072,0.077455412,0.142311636,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CO,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.33E-09,4.85E-08,2.43E-06,8.09E-05,0.001532857,0.00354655,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CO,industry,industry,industry,0.162564,0.196784,0.179916,0.116159,0.124933,0.130462,0.136889,0.141104,0.146908,0.152382,0.158889,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CO,municipal water,municipal water,municipal water,0.924392,1.24144,1.22329,1.2148,1.30861,1.39697,1.47504,1.52872,1.58108,1.62867,1.67604,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CT,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,0,0,5.49E-09,1.36E-07,2.28E-06,3.66E-06,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CT,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,0,2.21E-10,5.57E-09,1.10E-07,2.32E-07,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CT,industry,industry,industry,0.110715,0.0933496,0.0918162,0.249642,0.246923,0.248774,0.259743,0.271985,0.284768,0.295307,0.30752,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",CT,municipal water,municipal water,municipal water,0.580517,0.750652,0.680277,0.374062,0.367455,0.372925,0.387288,0.402222,0.419016,0.434613,0.449697,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",DC,industry,industry,industry,6.91E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",DE,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.24E-09,1.18E-07,6.16E-06,1.43E-04,0.002214841,0.005064228,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",DE,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,7.45E-10,3.51E-08,8.39E-07,1.63E-05,3.39E-05,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",DE,industry,industry,industry,0.0897577,0.0571261,0.132571,0.416696,0.421881,0.426359,0.441332,0.453949,0.468805,0.481021,0.498485,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",DE,municipal water,municipal water,municipal water,0.132184,0.141841,0.128316,0.139368,0.139287,0.142175,0.146484,0.150475,0.154404,0.157853,0.161091,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",FL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.22E-07,4.28E-06,2.20E-04,0.005093506,0.075100661,0.168483829,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",FL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,5.37E-10,1.96E-08,9.25E-07,2.60E-05,4.84E-04,0.001054304,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",FL,industry,industry,industry,0.556423,0.335766,0.294486,0.338377,0.368729,0.393144,0.414466,0.431523,0.439118,0.443039,0.454522,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",FL,municipal water,municipal water,municipal water,3.07322,3.77281,3.20109,3.30392,3.5925,3.83011,3.99321,4.10828,4.22169,4.32071,4.41379,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",GA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,4.33E-08,1.58E-06,8.13E-05,0.001881204,0.027828244,0.062863963,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",GA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.48E-10,9.72E-09,4.73E-07,1.23E-05,2.24E-04,4.99E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",GA,industry,industry,industry,0.907372,0.734391,0.672982,0.656901,0.69554,0.721813,0.751402,0.768713,0.774184,0.778046,0.798896,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",GA,municipal water,municipal water,municipal water,1.46834,1.79533,1.69966,1.62255,1.71863,1.7941,1.85402,1.89846,1.94229,1.97868,2.01237,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",HI,industry,industry,industry,0.0594885,0.0404096,0.00639646,3.32E-04,3.47E-04,3.46E-04,3.61E-04,3.83E-04,4.05E-04,4.23E-04,4.38E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",HI,municipal water,municipal water,municipal water,0.342508,0.377212,0.389438,0.379947,0.379023,0.381025,0.390429,0.401555,0.412786,0.423265,0.433452,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.73E-08,5.91E-07,2.74E-05,6.11E-04,0.00902956,0.019910325,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.55E-10,7.68E-09,2.58E-07,7.02E-06,1.55E-04,3.56E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IA,industry,industry,industry,0.302816,0.261868,0.173064,0.397271,0.402295,0.400789,0.410184,0.415982,0.427417,0.439368,0.455687,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IA,municipal water,municipal water,municipal water,0.507793,0.597744,0.595783,0.583487,0.585381,0.597071,0.614348,0.629437,0.644998,0.658956,0.672048,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",ID,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.36E-09,5.04E-08,2.79E-06,6.44E-05,9.03E-04,0.001888324,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",ID,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,7.86E-10,4.84E-08,1.49E-06,2.96E-05,8.32E-05,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",ID,industry,industry,industry,0.270475,0.0873262,0.0686894,0.0796173,0.0890549,0.0956698,0.101377,0.105517,0.109582,0.112882,0.11677,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",ID,municipal water,municipal water,municipal water,0.343558,0.460089,0.438786,0.477925,0.528769,0.574068,0.604519,0.623178,0.641501,0.657829,0.674082,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.41E-07,4.66E-06,2.32E-04,0.005344869,0.076603505,0.16442313,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.56E-09,4.29E-08,1.69E-06,4.81E-05,9.68E-04,0.002967712,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IL,industry,industry,industry,0.641359,0.502613,0.539251,0.59512,0.594001,0.590391,0.607429,0.624968,0.65044,0.673733,0.70288,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IL,municipal water,municipal water,municipal water,2.72782,2.49017,2.20656,2.16584,2.15023,2.18852,2.26083,2.32996,2.40127,2.46725,2.53073,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IN,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.53E-07,1.15E-05,5.59E-04,0.013354255,0.190198129,0.398954147,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IN,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.21E-09,6.25E-08,2.34E-06,7.44E-05,0.001515216,0.004323287,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IN,industry,industry,industry,3.42977,3.04087,3.04876,3.15902,3.2124,3.20457,3.28631,3.32751,3.42708,3.52581,3.67024,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",IN,municipal water,municipal water,municipal water,0.997627,1.10457,1.07974,1.04345,1.06686,1.09809,1.13499,1.16503,1.19603,1.22396,1.25074,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",KS,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,5.99E-08,2.09E-06,1.09E-04,0.00246577,0.033300081,0.067617195,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",KS,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,7.49E-10,2.68E-08,1.38E-06,3.94E-05,7.46E-04,0.002047576,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",KS,industry,industry,industry,0.0738701,0.0578583,0.0556617,0.0526637,0.053299,0.0532144,0.0547094,0.0559643,0.0577018,0.0592478,0.0616086,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",KS,municipal water,municipal water,municipal water,0.54964,0.576828,0.560982,0.50101,0.504732,0.514009,0.530069,0.544622,0.559317,0.572724,0.585388,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",KY,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,2.14E-07,7.01E-06,3.40E-04,0.008109411,0.115498285,0.242266574,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",KY,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.34E-09,3.79E-08,1.42E-06,4.52E-05,9.20E-04,0.002625331,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",KY,industry,industry,industry,0.433039,0.257254,0.314601,0.310733,0.318647,0.318967,0.328402,0.334273,0.344697,0.353939,0.366381,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",KY,municipal water,municipal water,municipal water,0.666613,0.818567,0.836306,0.79428,0.800295,0.818137,0.846089,0.866084,0.888697,0.908105,0.927418,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",LA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,5.59E-08,2.04E-06,1.05E-04,0.002425259,0.035872932,0.08103259,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",LA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,3.20E-10,1.25E-08,6.10E-07,1.58E-05,2.89E-04,6.43E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",LA,industry,industry,industry,3.25986,4.29392,2.84322,2.96041,2.91469,2.91088,3.01487,3.14956,3.2748,3.35175,3.45101,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",LA,municipal water,municipal water,municipal water,0.923895,1.05415,1.09612,1.03374,1.01454,1.02245,1.05214,1.08245,1.11211,1.13971,1.16681,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",MA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,0,0,1.99E-09,4.91E-08,8.25E-07,1.32E-06,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",MA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,0,0,2.02E-09,3.98E-08,8.38E-08,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",MA,industry,industry,industry,0.120041,0.155131,0.0225741,0.0385031,0.0399937,0.0413353,0.0435308,0.0456823,0.047963,0.0498872,0.0520148,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",MA,municipal water,municipal water,municipal water,1.03743,1.15147,0.989255,0.943015,0.977004,1.02111,1.07056,1.11371,1.16189,1.20724,1.25091,0,0,0,km^3
