final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm cooking,electricity,6.56E-05,9.75E-05,1.80E-04,5.22E-05,5.74E-05,6.55E-05,9.13E-05,1.16E-04,1.37E-04,1.62E-04,1.76E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm cooking,gas,7.75E-04,0.00102418,0.001465283,7.56E-04,7.26E-04,6.95E-04,6.78E-04,6.51E-04,6.41E-04,6.34E-04,6.68E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm cooling,electricity,6.18E-05,1.54E-04,1.50E-04,1.22E-04,1.19E-04,1.15E-04,1.14E-04,1.11E-04,1.10E-04,1.08E-04,1.11E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm cooling,gas,1.30E-06,1.25E-05,7.10E-06,7.60E-06,7.16E-06,6.74E-06,6.35E-06,6.04E-06,5.89E-06,5.70E-06,5.98E-06,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,biomass,1.39E-04,1.73E-04,2.83E-04,0.0011712,0.001179233,0.001248835,0.001470742,0.001716005,0.001703439,0.00143939,0.001184481,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,coal,0.0162671,0.00613441,0.00774521,0.0076825,0.00593003,0.00497693,0.00384125,0.00270557,0.00175247,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,electricity,8.84E-04,0.0011952,6.97E-04,9.23E-04,0.001107182,0.001253191,0.001676324,0.002181379,0.002754286,0.003838703,0.00423634,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,gas,0.0160584,0.012503,0.0112962,0.0110744,0.01058118,0.010242264,0.010293679,0.010123995,0.00989837,0.009455424,0.009855737,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,refined liquids,0.00524869,0.00512821,0.00816801,0.0023954,0.002263694,0.002180047,0.002084149,0.001859865,0.001522526,8.97E-04,7.08E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm hot water,electricity,5.13E-04,1.77E-04,8.62E-05,2.09E-04,2.38E-04,2.64E-04,3.31E-04,3.80E-04,4.22E-04,4.74E-04,4.86E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm hot water,gas,0.00208996,0.0019468,0.00190812,0.00175793,0.001695935,0.001646003,0.001645442,0.001653908,0.001697901,0.001739763,0.001871541,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm hot water,refined liquids,1.81E-04,5.19E-04,5.22E-04,4.96E-04,4.62E-04,4.36E-04,3.98E-04,3.35E-04,2.54E-04,1.42E-04,1.02E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm lighting,electricity,0.0033042,0.0028952,0.001910801,0.002074,0.001906624,0.001714472,0.001500003,0.001198381,0.001205937,0.001228543,0.001264084,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm non-building,electricity,8.27E-04,0.0010368,0.0014615,0.0018558,0.00184069,0.00186443,0.00195574,0.00205018,0.00214429,0.00222981,0.00230926,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm office,electricity,6.19E-04,0.0010143,0.001435,8.85E-04,7.95E-04,8.07E-04,8.55E-04,9.06E-04,9.57E-04,0.00100319,0.0010465,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm other,electricity,4.84E-04,0.0013254,0.0016612,0.0019434,0.002452,0.0025863,0.00308821,0.00365149,0.00426714,0.00472847,0.00491596,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm other,gas,5.12E-04,5.50E-04,4.61E-04,0.0037476,0.00354076,0.00368052,0.0040996,0.0048224,0.00550916,0.00589834,0.00625936,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm other,refined liquids,4.05E-04,4.66E-04,0.002287,0.0038077,0.0033369,0.00319052,0.00273401,0.00195247,0.0011466,7.42E-04,6.11E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm refrigeration,electricity,3.72E-04,0.0011251,0.0015916,0.00100109,9.38E-04,9.11E-04,9.12E-04,9.07E-04,9.50E-04,9.88E-04,0.001022419,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm ventilation,electricity,5.47E-04,0.001165923,0.001434278,0.001249956,0.001234066,0.001248445,0.00129214,0.001335125,0.001363349,0.001381286,0.001348465,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,biomass,0.0063943,5.18E-05,9.49E-05,1.47E-04,1.47E-04,1.45E-04,1.49E-04,1.55E-04,1.60E-04,1.62E-04,1.60E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,coal,0,1.73E-05,4.73E-05,1.34E-05,1.35E-05,1.32E-05,1.31E-05,1.23E-05,1.13E-05,1.03E-05,1.05E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,electricity,0,0.0011531,0.0018555,0.0032111,9.96E-04,8.32E-04,0.00129285,0.001276451,0.001446424,0.001750457,0.00221985,0,0,0,EJ
