water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industry,industry,industry,0.154012,0.0112732,0.0107483,0.0115357,0.0112184,0.0109595,0.0111484,0.0112742,0.0114835,0.0116757,0.0121492,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,municipal water,municipal water,municipal water,0.13673,0.12413,0.129656,0.152797,0.147049,0.144806,0.147146,0.150358,0.153807,0.156976,0.160036,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.87E-08,1.27E-06,7.26E-05,0.002189818,0.034888685,0.076008011,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.28E-10,8.26E-09,4.31E-07,1.41E-05,2.73E-04,5.81E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,industry,industry,industry,1.08306,0.760419,0.793589,0.682211,0.689637,0.697238,0.722094,0.734892,0.740526,0.74648,0.771642,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,municipal water,municipal water,municipal water,1.01488,1.16156,1.2006,1.10275,1.11818,1.14926,1.19107,1.22036,1.25307,1.28119,1.30937,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AR,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.52E-08,4.98E-07,2.83E-05,8.52E-04,0.013491418,0.029233818,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AR,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,3.10E-09,1.62E-07,5.29E-06,1.02E-04,2.16E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AR,industry,industry,industry,0.245013,0.246354,0.37373,0.216803,0.219443,0.221134,0.228212,0.232274,0.233785,0.235258,0.242446,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AR,municipal water,municipal water,municipal water,0.496147,0.582907,0.609957,0.519329,0.521165,0.528682,0.542647,0.555534,0.567796,0.578436,0.588604,0,0,0,km^3
