"region","sector","Year","co2.emiss","scenario"
"AL","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AR","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AZ","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CO","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CT","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"DE","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"FL","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"GA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ID","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IL","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IN","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KS","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KY","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"LA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MD","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MI","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MN","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MO","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MS","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MT","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NC","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ND","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NE","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NH","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NJ","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NM","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NV","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NY","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OH","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OK","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OR","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"PA","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"RI","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"SC","airCO2","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
