CO2 sequestration by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,technology,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,biomass (IGCC CCS) (dry cooling),biomass_base_IGCC_CCS,0,0,0,0,0,1.54E-06,8.39E-05,3.11E-04,6.63E-04,0.001104626,9.06E-04,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,biomass (IGCC CCS) (recirculating),biomass_base_IGCC_CCS,0,0,0,0,0,1.62E-06,8.79E-05,3.24E-04,6.89E-04,0.001156119,0.001022101,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,biomass (IGCC CCS) (seawater),biomass_base_IGCC_CCS,0,0,0,0,0,1.62E-06,8.82E-05,3.25E-04,6.92E-04,0.001161468,0.001026722,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,biomass (conv CCS) (dry cooling),biomass_base_conv_CCS,0,0,0,0,0,1.92E-06,1.17E-04,4.95E-04,0.001095949,0.001662328,7.31E-04,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,biomass (conv CCS) (recirculating),biomass_base_conv_CCS,0,0,0,0,0,2.05E-06,1.24E-04,5.24E-04,0.001155833,0.001783213,8.91E-04,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,biomass (conv CCS) (seawater),biomass_base_conv_CCS,0,0,0,0,0,2.06E-06,1.25E-04,5.26E-04,0.001161472,0.001791716,8.95E-04,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,coal (IGCC CCS) (dry cooling),coal_base_IGCC_CCS,0,0,0,0,0,2.83E-05,6.30E-04,8.71E-04,0.001062286,0.001623309,0.001580995,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,coal (IGCC CCS) (recirculating),coal_base_IGCC_CCS,0,0,0,0,0,3.04E-05,6.77E-04,9.58E-04,0.001206969,0.001862552,0.001893362,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,coal (IGCC CCS) (seawater),coal_base_IGCC_CCS,0,0,0,0,0,3.05E-05,6.80E-04,9.61E-04,0.001211351,0.001869409,0.00190046,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,coal (conv pul CCS) (dry cooling),coal_base_conv pul_CCS,0,0,0,0,0,3.00E-05,6.47E-04,8.48E-04,9.63E-04,0.001422475,0.001265195,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,coal (conv pul CCS) (recirculating),coal_base_conv pul_CCS,0,0,0,0,0,3.24E-05,7.00E-04,9.30E-04,0.001084513,0.001617759,0.001503098,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,coal (conv pul CCS) (seawater),coal_base_conv pul_CCS,0,0,0,0,0,3.25E-05,7.02E-04,9.34E-04,0.001088374,0.001623585,0.001508643,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,base load generation,gas (CC CCS) (dry cooling),gas_base_CC_CCS,0,0,0,0,0,1.37E-04,0.003497735,0.005196182,0.007443394,0.011784641,0.013641102,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,coal to liquids,coal to liquids CCS level 1,coal to liquids,0,0,0,0,0,0,0,5.09E-07,2.06E-06,4.96E-08,1.31E-05,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,coal to liquids,coal to liquids CCS level 2,coal to liquids,0,0,0,0,0,0,0,4.14E-07,1.84E-06,3.93E-08,1.17E-05,0,0,0,MTC
