final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm cooking,electricity,6.56E-05,9.75E-05,1.80E-04,5.22E-05,5.74E-05,6.45E-05,8.90E-05,1.12E-04,1.32E-04,1.54E-04,1.66E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm cooking,gas,7.75E-04,0.00102418,0.001465283,7.56E-04,7.26E-04,6.96E-04,6.81E-04,6.61E-04,6.57E-04,6.59E-04,6.98E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm cooling,electricity,6.18E-05,1.54E-04,1.50E-04,1.22E-04,1.19E-04,1.14E-04,1.13E-04,1.11E-04,1.10E-04,1.08E-04,1.11E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm cooling,gas,1.30E-06,1.25E-05,7.10E-06,7.60E-06,7.16E-06,6.75E-06,6.40E-06,6.13E-06,6.03E-06,5.91E-06,6.23E-06,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,biomass,1.39E-04,1.73E-04,2.83E-04,0.0011712,0.001179233,0.001251041,0.001473728,0.001692265,0.001664732,0.001388613,0.001134597,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,coal,0.0162671,0.00613441,0.00774521,0.0076825,0.00593003,0.00497693,0.00384125,0.00270557,0.00175247,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,electricity,8.84E-04,0.0011952,6.97E-04,9.23E-04,0.001107182,0.001238685,0.00164805,0.002132648,0.002675001,0.003683293,0.00402846,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,gas,0.0160584,0.012503,0.0112962,0.0110744,0.01058118,0.01025912,0.010332598,0.010271246,0.010206192,0.010095094,0.010683438,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm heating,refined liquids,0.00524869,0.00512821,0.00816801,0.0023954,0.002263694,0.002183592,0.00209849,0.001904611,0.001575365,9.44E-04,7.53E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,comm hot water,electricity,5.13E-04,1.77E-04,8.62E-05,2.09E-04,2.38E-04,2.60E-04,3.23E-04,3.66E-04,4.02E-04,4.45E-04,4.48E-04,0,0,0,EJ
