water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,industry,industry,industry,0.154012,0.0112732,0.0107483,0.0115357,0.0112184,0.010967,0.0111626,0.0113522,0.0115999,0.011827,0.0123516,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,municipal water,municipal water,municipal water,0.13673,0.12413,0.129656,0.152797,0.147049,0.144806,0.147146,0.150357,0.153807,0.156975,0.160035,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,5.00E-07,1.53E-05,5.56E-04,0.012541803,0.109711935,0.205699412,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.46E-09,5.41E-08,2.07E-06,5.62E-05,6.65E-04,0.001434824,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,industry,industry,industry,1.08306,0.760419,0.793589,0.682211,0.689637,0.697413,0.72262,0.736672,0.74569,0.754394,0.78258,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,municipal water,municipal water,municipal water,1.01488,1.16156,1.2006,1.10275,1.11818,1.14926,1.19107,1.22035,1.25307,1.28117,1.30935,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.71E-07,5.22E-06,1.89E-04,0.0042712,0.037314362,0.069876562,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,4.94E-10,1.84E-08,7.01E-07,1.91E-05,2.25E-04,4.92E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,industry,industry,industry,0.245013,0.246354,0.37373,0.216803,0.219443,0.221183,0.228398,0.232899,0.235433,0.237647,0.245789,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,municipal water,municipal water,municipal water,0.496147,0.582907,0.609957,0.519329,0.521165,0.528674,0.542618,0.555381,0.567531,0.578012,0.587054,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AZ,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.41E-07,1.01E-05,3.62E-04,0.008288997,0.070911152,0.124849008,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AZ,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.22E-09,7.67E-08,2.85E-06,8.93E-05,0.001152788,0.002629334,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AZ,industry,industry,industry,0.225202,0.0310152,0.0178493,0.00845493,0.00948403,0.0101515,0.010815,0.0113918,0.0119892,0.0124145,0.0129726,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AZ,municipal water,municipal water,municipal water,1.02019,1.6525,1.71392,1.68429,1.84183,1.99013,2.09956,2.17332,2.24461,2.30676,2.36697,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,2.48E-07,7.47E-06,2.83E-04,0.006755033,0.061268643,0.111853019,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.61E-09,5.23E-08,2.20E-06,7.17E-05,9.84E-04,0.002427506,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CA,industry,industry,industry,0.17801,0.0998014,0.553163,0.550607,0.574814,0.588802,0.613049,0.633387,0.65726,0.679204,0.713901,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CA,municipal water,municipal water,municipal water,8.49041,10.3239,8.8229,7.21493,7.54042,7.8203,8.03767,8.16729,8.25925,8.20179,7.86264,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CO,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.97E-07,1.18E-05,4.23E-04,0.009686004,0.082904841,0.145997514,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CO,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.59E-09,8.95E-08,3.33E-06,1.04E-04,0.001347792,0.003074911,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CO,industry,industry,industry,0.162564,0.196784,0.179916,0.116159,0.124933,0.130756,0.137414,0.142021,0.147685,0.152865,0.160383,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CO,municipal water,municipal water,municipal water,0.924392,1.24144,1.22329,1.2148,1.30861,1.39704,1.47516,1.52908,1.58186,1.62972,1.67723,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CT,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.25E-08,3.89E-07,1.38E-05,3.33E-04,0.003238917,0.006403879,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CT,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,2.45E-09,8.24E-08,2.24E-06,2.76E-05,4.97E-05,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CT,industry,industry,industry,0.110715,0.0933496,0.0918162,0.249642,0.246923,0.249079,0.260284,0.272928,0.285609,0.294738,0.309569,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",CT,municipal water,municipal water,municipal water,0.580517,0.750652,0.680277,0.374062,0.367455,0.372925,0.387287,0.402221,0.419016,0.434613,0.449697,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",DC,industry,industry,industry,6.91E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",DE,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,2.73E-08,8.40E-07,3.10E-05,7.01E-04,0.006523291,0.012589651,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",DE,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,3.25E-09,1.21E-07,2.99E-06,3.77E-05,6.09E-05,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",DE,industry,industry,industry,0.0897577,0.0571261,0.132571,0.416696,0.421881,0.427324,0.442924,0.456974,0.471749,0.48255,0.503938,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",DE,municipal water,municipal water,municipal water,0.132184,0.141841,0.128316,0.139368,0.139287,0.142174,0.146482,0.150474,0.154404,0.157852,0.161088,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",FL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,9.07E-07,2.68E-05,9.68E-04,0.02195186,0.185087948,0.343484878,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",FL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.36E-09,8.07E-08,3.13E-06,9.05E-05,9.88E-04,0.002396408,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",FL,industry,industry,industry,0.556423,0.335766,0.294486,0.338377,0.368729,0.393235,0.414186,0.429847,0.437239,0.440457,0.456308,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",FL,municipal water,municipal water,municipal water,3.07322,3.77281,3.20109,3.30392,3.5925,3.83005,3.99311,4.10821,4.22165,4.32071,4.41373,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",GA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,4.90E-07,1.50E-05,5.45E-04,0.012298185,0.107581208,0.201704887,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",GA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.43E-09,5.30E-08,2.03E-06,5.51E-05,6.52E-04,0.001406932,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",GA,industry,industry,industry,0.907372,0.734391,0.672982,0.656901,0.69554,0.722523,0.751953,0.768203,0.773878,0.779131,0.804802,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",GA,municipal water,municipal water,municipal water,1.46834,1.79533,1.69966,1.62255,1.71863,1.79407,1.85398,1.89843,1.94228,1.97864,2.01232,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",HI,industry,industry,industry,0.0594885,0.0404096,0.00639646,3.32E-04,3.47E-04,3.45E-04,3.59E-04,3.79E-04,3.98E-04,4.11E-04,4.30E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",HI,municipal water,municipal water,municipal water,0.342508,0.377212,0.389438,0.379947,0.379023,0.381025,0.390429,0.401555,0.412786,0.423265,0.433452,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",IA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.46E-07,9.97E-06,3.31E-04,0.007508558,0.06869312,0.127691514,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",IA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.13E-09,6.43E-08,1.78E-06,5.15E-05,7.72E-04,0.00205891,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",IA,industry,industry,industry,0.302816,0.261868,0.173064,0.397271,0.402295,0.401414,0.41186,0.418912,0.430105,0.441507,0.459991,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",IA,municipal water,municipal water,municipal water,0.507793,0.597744,0.595783,0.583487,0.585381,0.597082,0.614357,0.629456,0.645038,0.659002,0.672094,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",ID,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.03E-08,3.22E-07,1.23E-05,2.88E-04,0.002482597,0.004473644,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",ID,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,3.01E-09,1.40E-07,4.50E-06,5.44E-05,1.32E-04,0,0,0,km^3
