#tech mapping,,,,
sector,nestingsubsector,subsector,technology,tech_map
airCO2,airCO2,N/A,airCO2,DACCS
CO2 removal,dac,N/A,hightemp DAC NG,DACCS
CO2 removal,dac,N/A,hightemp DAC elec,DACCS
CO2 removal,dac,N/A,lowtemp DAC heatpump,DACCS
H2 central production,biomass,N/A,biomass to H2,Industry
H2 central production,biomass,N/A,biomass to H2 CCS,Industry
H2 central production,coal,N/A,coal chemical,Industry
H2 central production,coal,N/A,coal chemical CCS,Industry
H2 central production,gas,N/A,natural gas steam reforming,Industry
H2 central production,gas,N/A,natural gas steam reforming CCS,Industry
H2 forecourt production,gas,N/A,natural gas steam reforming,Industry
N fertilizer,coal,N/A,coal,Industry
N fertilizer,coal,N/A,coal CCS,Industry
N fertilizer,gas,N/A,gas,Industry
N fertilizer,gas,N/A,gas CCS,Industry
N fertilizer,refined liquids,N/A,refined liquids,Industry
backup_electricity,gas,N/A,gas (steam/CT),Electricity
base load generation,biomass,"biomass_base_IGCC,depth=1",biomass (IGCC) (dry cooling),Bioelectricity
base load generation,biomass,"biomass_base_IGCC,depth=1",biomass (IGCC) (recirculating),Bioelectricity
base load generation,biomass,"biomass_base_IGCC,depth=1",biomass (IGCC) (seawater),Bioelectricity
base load generation,biomass,"biomass_base_IGCC_CCS,depth=1",biomass (IGCC CCS) (dry cooling),BECCS electricity
base load generation,biomass,"biomass_base_IGCC_CCS,depth=1",biomass (IGCC CCS) (recirculating),BECCS electricity
base load generation,biomass,"biomass_base_IGCC_CCS,depth=1",biomass (IGCC CCS) (seawater),BECCS electricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (cooling pond),Bioelectricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (dry cooling),Bioelectricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (once through),Bioelectricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (recirculating),Bioelectricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (seawater),Bioelectricity
base load generation,biomass,"biomass_base_conv_CCS,depth=1",biomass (conv CCS) (dry cooling),BECCS electricity
base load generation,biomass,"biomass_base_conv_CCS,depth=1",biomass (conv CCS) (recirculating),BECCS electricity
base load generation,biomass,"biomass_base_conv_CCS,depth=1",biomass (conv CCS) (seawater),BECCS electricity
base load generation,coal,"coal_base_IGCC_CCS,depth=1",coal (IGCC CCS) (dry cooling),Electricity
base load generation,coal,"coal_base_IGCC_CCS,depth=1",coal (IGCC CCS) (recirculating),Electricity
base load generation,coal,"coal_base_IGCC_CCS,depth=1",coal (IGCC CCS) (seawater),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 2001-2005,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 2001-2005,depth=1",coal (conv pul) (dry cooling),Electricity
